clade_name	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
d__Bacteria|p__Aquificae	22	20	71	68	44	47	82	168	88	6	65	138	169	185	31	2097	688	2485	668	164
d__Bacteria|p__Aquificae|c__Aquificae	22	20	71	68	44	47	82	168	88	6	65	138	169	185	31	2097	688	2485	668	164
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	2	6	14	16	5	11	28	52	19	2	21	31	28	53	14	479	105	991	199	17
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	2	6	14	16	5	11	28	52	19	2	21	31	28	53	14	479	105	991	199	17
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	1	1	6	2	0	2	2	8	1	0	12	3	6	2	0	99	22	353	149	13
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio_ammonificans	1	1	6	2	0	2	2	8	1	0	12	3	6	2	0	99	22	353	149	13
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	1	5	8	14	5	9	26	44	18	2	9	28	22	51	14	379	82	637	49	4
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum	1	5	8	14	5	9	26	44	18	2	9	28	22	51	14	379	82	637	49	4
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	20	14	57	52	39	36	54	116	69	4	44	107	141	132	17	1618	583	1494	469	147
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	2	1	7	8	3	3	5	16	3	0	12	4	7	5	4	102	75	228	121	9
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii	2	1	7	8	3	3	5	16	3	0	12	4	7	5	4	102	75	228	121	9
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	10	8	12	19	22	25	25	57	47	0	14	70	80	73	7	625	137	360	158	36
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	1	0	2	5	7	3	5	16	8	0	4	9	31	23	3	113	59	137	52	6
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina	1	0	2	5	7	3	5	16	8	0	4	9	31	23	3	113	59	137	52	6
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	9	8	10	14	15	22	20	41	39	0	10	61	49	50	4	512	78	223	106	30
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp._YO3AOP1	7	3	2	2	12	11	12	12	26	0	1	26	32	23	3	271	48	80	11	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_azorense	2	4	8	12	3	11	8	29	13	0	9	35	17	27	1	240	30	142	95	16
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	8	5	38	25	14	8	24	43	19	4	18	33	54	54	6	891	371	906	190	102
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	0	2	3	5	0	0	2	7	6	0	3	8	4	10	5	357	116	73	42	16
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus	0	2	3	5	0	0	2	7	6	0	3	8	4	10	5	357	116	73	42	16
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	0	0	14	0	5	2	0	5	0	0	0	8	18	14	0	105	55	338	80	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._Y04AAS1	0	0	14	0	5	2	0	5	0	0	0	8	18	14	0	105	55	338	80	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	0	1	0	0	1	1	3	9	1	4	4	1	2	2	0	4	0	7	15	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex_aeolicus	0	1	0	0	1	1	3	9	1	4	4	1	2	2	0	4	0	7	15	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	8	2	21	19	7	5	19	21	12	0	11	15	29	28	1	424	199	487	52	72
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber	4	0	3	2	0	3	6	1	2	0	6	5	9	7	0	43	34	105	4	22
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus	3	0	2	1	2	0	3	5	2	0	3	3	8	2	0	46	36	24	9	8
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae	1	2	16	16	5	2	10	15	8	0	2	7	12	19	1	334	129	357	39	41
d__Bacteria|p__Nitrospirae	23	7	60	57	28	17	124	67	32	4	36	71	143	122	29	1489	648	1109	519	205
d__Bacteria|p__Nitrospirae|c__Nitrospira	23	7	60	57	28	17	124	67	32	4	36	71	143	122	29	1489	648	1109	519	205
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	23	7	60	57	28	17	124	67	32	4	36	71	143	122	29	1489	648	1109	519	205
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	23	7	60	57	28	17	124	67	32	4	36	71	143	122	29	1489	648	1109	519	205
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	2	4	15	15	7	5	20	26	9	0	4	20	26	33	3	649	192	99	65	32
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	2	4	15	15	7	5	20	26	9	0	4	20	26	33	3	649	192	99	65	32
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	7	0	17	23	7	1	9	14	4	2	5	18	10	12	3	231	111	326	95	32
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	0	0	5	0	0	0	0	6	0	0	0	5	0	0	0	3	0	219	42	4
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	0	0	11	13	2	1	9	6	4	2	5	5	2	5	3	168	105	96	33	8
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	7	0	0	9	4	0	0	1	0	0	0	7	7	6	0	59	6	9	19	19
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	14	3	28	19	14	11	95	27	19	2	27	33	107	77	23	608	344	683	359	141
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_defluvii	8	2	3	6	8	5	1	8	12	0	9	10	53	22	6	388	232	164	149	25
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	2	0	7	6	0	1	85	4	2	1	5	17	37	22	11	47	45	191	160	28
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	4	0	0	4	6	3	5	9	3	1	6	1	13	8	5	41	22	132	7	12
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	0	1	18	2	0	2	4	6	2	0	7	5	4	25	1	131	44	195	42	75
d__Bacteria|p__Deferribacteres	26	18	49	60	29	42	93	201	77	2	111	142	152	182	39	3614	1321	1801	498	120
d__Bacteria|p__Deferribacteres|c__Deferribacteres	26	18	49	60	29	42	93	201	77	2	111	142	152	182	39	3614	1321	1801	498	120
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	26	18	49	60	29	42	93	201	77	2	111	142	152	182	39	3614	1321	1801	498	120
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	26	18	49	60	29	42	93	201	77	2	111	142	152	182	39	3614	1321	1801	498	120
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	3	2	10	14	4	8	24	52	26	0	19	10	18	29	5	56	12	271	135	11
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens	3	2	10	14	4	8	24	52	26	0	19	10	18	29	5	56	12	271	135	11
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	11	3	17	21	9	5	10	19	16	1	23	31	34	24	2	677	354	214	102	51
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes_sinusarabici	11	3	17	21	9	5	10	19	16	1	23	31	34	24	2	677	354	214	102	51
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	1	4	3	5	2	1	3	25	3	0	8	8	9	6	8	1043	241	198	49	21
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_thiophilus	1	4	3	5	2	1	3	25	3	0	8	8	9	6	8	1043	241	198	49	21
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	2	4	13	13	4	10	23	51	10	0	17	32	22	57	11	684	235	822	111	9
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus	2	4	13	13	4	10	23	51	10	0	17	32	22	57	11	684	235	822	111	9
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	9	5	6	5	10	18	33	54	22	1	44	61	69	66	13	1152	479	294	101	26
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	9	5	6	5	10	18	33	54	22	1	44	61	69	66	13	1152	479	294	101	26
d__Bacteria|s__bacterium_2013Arg42i	0	0	3	7	2	3	5	20	2	1	12	18	13	10	0	42	41	30	28	2
d__Bacteria|g__Vampirococcus	2	0	1	4	16	1	12	10	7	0	6	14	16	7	2	175	123	199	91	53
d__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	2	0	1	4	16	1	12	10	7	0	6	14	16	7	2	175	123	199	91	53
d__Bacteria|s__Candidatus_Dependentiae_bacterium_(ex_Spumella_elongata_CCAP_955/1)	0	0	0	8	1	3	53	7	5	0	5	3	6	12	2	23	3	58	16	2
d__Bacteria|c__Candidatus_Babeliae	2	1	5	8	8	1	12	48	4	0	9	13	32	50	1	70	20	117	57	7
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	2	1	5	8	8	1	12	48	4	0	9	13	32	50	1	70	20	117	57	7
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	2	1	5	8	8	1	12	48	4	0	9	13	32	50	1	70	20	117	57	7
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela	2	1	5	8	8	1	12	48	4	0	9	13	32	50	1	70	20	117	57	7
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	2	1	5	8	8	1	12	48	4	0	9	13	32	50	1	70	20	117	57	7
d__Bacteria|p__Candidatus_Bipolaricaulota	0	1	0	0	4	1	3	1	1	0	0	4	11	5	2	126	64	17	11	2
d__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis	0	1	0	0	4	1	3	1	1	0	0	4	11	5	2	126	64	17	11	2
d__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis|s__Candidatus_Bipolaricaulis_anaerobius	0	1	0	0	4	1	3	1	1	0	0	4	11	5	2	126	64	17	11	2
d__Bacteria|p__Candidatus_Gracilibacteria	491	87	145	112	278	558	10	23	14	0	33	35	187	318	6	416	137	77	89	3
d__Bacteria|p__Candidatus_Gracilibacteria|s__Candidatus_Gracilibacteria_bacterium_HOT-871	491	87	145	112	278	558	10	23	14	0	33	35	187	318	6	416	137	77	89	3
d__Bacteria|p__Candidatus_Saccharibacteria	5728	5283	25478	24794	6572	14136	17318	56112	9220	91	5205	9580	10361	30624	2461	122396	94335	182002	128489	5077
d__Bacteria|p__Candidatus_Saccharibacteria|s__TM7_phylum_sp._oral_taxon_952	164	762	3281	1358	0	217	0	192	516	0	0	0	0	5180	0	5258	493	3253	25983	0
d__Bacteria|p__Candidatus_Saccharibacteria|s__Candidatus_Saccharibacteria_oral_taxon_TM7x	1069	2479	13352	14730	0	8132	10550	31659	5037	0	2841	5296	5769	9975	1539	42782	56160	103690	42294	1600
d__Bacteria|p__Candidatus_Saccharibacteria|s__Candidatus_Saccharibacteria_bacterium_YM_S32_TM7_50_20	7	28	319	94	26	48	32	109	34	2	20	69	34	124	6	1328	397	1579	666	114
d__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas	16	82	473	219	56	192	206	459	105	1	45	161	132	500	36	2968	1352	2377	1689	177
d__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_aalborgensis	16	82	473	219	56	192	206	459	105	1	45	161	132	500	36	2968	1352	2377	1689	177
d__Bacteria|p__Candidatus_Saccharibacteria|s__TM7_phylum_sp._oral_taxon_957	673	899	4594	3933	3793	2675	3032	8245	1610	65	1035	1645	1757	6916	468	26387	17082	31367	26990	1118
d__Bacteria|p__Candidatus_Saccharibacteria|s__TM7_phylum_sp._oral_taxon_955	3260	206	721	601	905	575	716	2284	282	4	285	514	466	1808	65	6185	2908	6608	6042	253
d__Bacteria|p__Candidatus_Saccharibacteria|s__TM7_phylum_sp._oral_taxon_488	537	825	2735	3857	1790	2296	2781	13161	1634	18	977	1894	2201	6118	345	37485	15941	33124	24822	1815
d__Bacteria|p__Thermotogae	76	34	209	133	89	105	263	507	247	19	235	341	493	565	153	5438	2931	6156	2215	272
d__Bacteria|p__Thermotogae|c__Thermotogae	76	34	209	133	89	105	263	507	247	19	235	341	493	565	153	5438	2931	6156	2215	272
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	12	3	15	14	25	2	21	28	24	2	36	26	57	45	18	708	555	431	211	43
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae	12	3	15	14	25	2	21	28	24	2	36	26	57	45	18	708	555	431	211	43
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga	5	3	0	6	8	1	13	11	10	1	15	4	4	8	9	425	350	132	63	25
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga_prima	5	3	0	6	8	1	13	11	10	1	15	4	4	8	9	425	350	132	63	25
